orc 0.4.34-1
os-prober-btrfs 1.79-5
p11-kit 0.25.0-1
p7zip 1:17.05-1
pace 1.4.2-1.3
pacman 6.0.2-7
pacman-contrib 1.9.1-1
pacman-mirrorlist 20230628-1
pahole 1:1.25-4
pam 1.5.3-3
pambase 20221020-1
pango 1:1.50.14-1
pangomm 2.46.3-1
papirus-icon-theme 20230601-1
parted 3.6-1
paru 1.11.1-1.3
patch 2.7.6-10
pavucontrol 1:5.0+r64+geba9ca6-1
pcaudiolib 1.2-2
pciutils 3.10.0-1
pcmanfm 1.3.2-1
pcre 8.45-3
pcre2 10.42-2
pcsclite 2.0.0-1
perl 5.36.1-2
perl-clone 0.46-1
perl-encode-locale 1.05-10
perl-error 0.17029-4
perl-file-basedir 0.09-2
perl-file-desktopentry 0.22-10
perl-file-listing 6.16-1
perl-file-mimeinfo 0.33-1
perl-html-parser 3.81-1
perl-html-tagset 3.20-13
perl-http-cookies 6.10-3
perl-http-daemon 6.16-1
perl-http-date 6.05-6
perl-http-message 6.44-1
perl-http-negotiate 6.01-11
perl-io-html 1.004-3
perl-ipc-system-simple 1.30-4
perl-libwww 6.67-1
perl-lwp-mediatypes 6.04-3
perl-mailtools 2.21-6
perl-net-http 6.23-1
perl-timedate 2.33-4
perl-try-tiny 0.31-2
perl-uri 5.19-1
perl-www-robotrules 6.02-11
perl-xml-parser 2.46-4
perl-xml-writer 0.900-1
phonon-qt5 4.11.1-3
phonon-qt5-gstreamer 4.10.0-4
picom-ibhagwan-git 1578_Next.297.gc4107bb_2021.11.03-1.3
pinentry 1.2.1-1
pipewire 1:0.3.76-2
pipewire-alsa 1:0.3.76-2
pipewire-audio 1:0.3.76-2
pipewire-jack 1:0.3.76-2
pipewire-pulse 1:0.3.76-2
pipewire-support 1-16
pipewire-v4l2 1:0.3.76-2
pipewire-x11-bell 1:0.3.76-2
pipewire-zeroconf 1:0.3.76-2
pixman 0.42.2-1
pkcs11-helper 1.29.0-2
pkgconf 1.8.1-1
pkgfile 21-2
plasma-framework 5.108.0-1
playerctl 2.4.1-3
plymouth-git 22.02.122.r180.gb1d5aa9d-1
plymouth-theme-garuda-purple r5.16806d2-1
polkit 122-1
polkit-qt5 0.114.0-1
poppler 23.07.0-1
poppler-data 0.4.12-1
poppler-glib 23.07.0-1
poppler-qt5 23.07.0-1
popt 1.19-1
portaudio 1:19.7.0-2
powertop 2.15-1
ppp 2.4.9-3
pptpclient 1.10.0-3
procps-ng 4.0.3-1
profile-sync-daemon 1:6.48-1
protobuf 23.4-1
protobuf-c 1.4.1-2
psmisc 23.6-1
purpose 5.108.0-1
python 3.11.3-2
python-aaf2 1.7.0-1
python-attrs 22.2.0-3
python-cairo 1.24.0-1
python-cairocffi 1.5.0-1
python-cffi 1.15.1-3
python-chardet 5.2.0-1
python-contourpy 1.1.0-1
python-cryptography 41.0.2-1
python-cssselect 1.2.0-3
python-cycler 0.11.0-3
python-dateutil 2.8.2-5
python-fonttools 4.41.1-1
python-gobject 3.44.1-4
python-idna 3.4-3
python-injector 0.20.1-2.3
python-jinja 1:3.1.2-4
python-kiwisolver 1.4.4-4
python-lxml 4.9.2-3
